,Wikipedia movie ID,averageRating,numVotes
0,975900,4.9,58732.0
1,28463795,5.6,42.0
2,9363483,6.1,3071.0
3,261236,5.9,648.0
4,13696889,7.2,19.0
5,18998739,6.4,213.0
9,175026,5.3,354.0
10,24229100,6.3,4334.0
11,6631279,5.8,1146.0
12,171005,7.0,7216.0
13,11250635,7.4,1749.0
14,30388930,4.3,42.0
15,77856,7.8,188890.0
16,32456683,7.7,24.0
17,33420460,5.7,101.0
18,175024,5.9,267.0
19,612710,5.2,6473.0
20,21926710,6.1,552.0
21,31983669,6.8,493.0
22,17715326,6.4,15.0
24,21344842,6.1,38.0
25,156558,6.5,17070.0
26,11448183,4.8,26.0
27,9633533,7.9,1334.0
28,31323091,5.2,26.0
29,27611999,5.4,1304.0
31,29528534,7.1,63.0
32,1364293,6.0,504.0
33,29772142,6.6,17.0
34,26067101,6.4,1298.0
35,9912533,7.3,38.0
36,9548445,5.3,528.0
38,26878691,5.9,245.0
40,2487170,7.8,2651.0
41,25960460,5.6,2582.0
43,261237,7.3,60321.0
45,14631844,6.4,671.0
46,14301436,5.6,55.0
47,12008535,6.7,9406.0
48,4951456,5.5,3966.0
49,13281430,7.0,479.0
51,21449578,7.2,1739.0
53,5708633,5.5,1579.0
54,12053509,6.1,8955.0
56,3645672,8.1,533.0
57,29198000,3.9,903.0
58,1369204,6.9,2585.0
59,21235485,4.7,1033.0
62,12371532,7.0,1449.0
63,24399617,8.6,125.0
64,32104837,7.5,656.0
65,20334086,3.3,1477.0
67,31137877,7.9,15.0
68,2647998,6.0,2009.0
71,20944359,7.4,58.0
72,11353896,6.2,73.0
73,24761154,5.2,313.0
74,27374355,6.4,105.0
75,16686643,7.8,13.0
76,7364373,6.6,815.0
78,11996174,4.1,21.0
79,7028314,5.6,1021.0
80,31156641,5.4,219.0
81,32224700,6.2,10.0
82,19929835,7.4,104.0
83,25413122,5.8,453.0
84,5664529,5.6,3177.0
85,26776017,6.5,9.0
87,5894429,6.5,4921.0
88,12788657,7.0,11055.0
90,27556929,6.6,681.0
91,4300418,5.5,2653.0
92,29766415,7.1,926.0
93,30246289,6.2,1041.0
95,9390791,5.8,37.0
97,28028248,4.4,820.0
98,8669450,7.9,476.0
99,10419077,6.3,86.0
100,2154704,5.3,333.0
101,28301986,6.1,321.0
102,33059372,5.0,4256.0
103,3740032,6.7,2664.0
104,2659373,7.6,7.0
105,17683792,7.8,133.0
106,3873713,6.2,93.0
108,9380065,2.5,377.0
109,164387,8.7,1288.0
110,28937087,6.9,4577.0
111,24282217,5.7,469.0
113,7767613,6.4,2301.0
114,24863901,6.3,243.0
115,21373150,5.6,173.0
116,30002176,6.8,427.0
117,164388,7.1,7128.0
118,22985953,5.6,1216.0
119,31723287,8.7,19.0
121,1630107,7.2,7720.0
122,7572051,7.1,71.0
123,11717027,6.5,551.0
124,22066590,7.5,548.0
125,3550323,6.7,30137.0
126,1072373,6.7,1387.0
127,1765938,5.4,14.0
128,7460227,6.8,520.0
129,19095614,6.7,96.0
130,18902861,6.3,389.0
