wikipedia_movie_id,movie_name,movie_release_date,bechdel_rating
975900,Ghosts of Mars,2001,3
171005,Henry V,1989,3
77856,Mary Poppins,1964,3
12053509,Loverboy,1989,3
1369204,Juarez,1939,2
5664529,Vixen!,1968,3
7767613,Star!,1968,3
1765938,Convoy,1978,0
1305819,C.H.U.D.,1984,2
1031231,"Black Cat, White Cat",1998,3
196176,Straw Dogs,1971,1
2509881,Critters 3,1991,3
748616,"Spring, Summer, Fall, Winter... and Spring",2003,1
336846,Grease,1978,3
27463222,Vanishing on 7th Street,2010,1
3829646,What Have I Done to Deserve This?,1984,3
3033993,Becoming Jane,2007,3
103021,Midnight Express,1978,0
1940449,RoboCop 3,1993,3
362719,Superman,1978,1
7696753,Lord of the Flies,1963,0
5549065,Sweeney Todd: The Demon Barber of Fleet Street,2007,1
171058,Chaplin,1992,1
32584198,Spiderhole,2010,3
1033297,Resident Evil,2002,3
9105523,Picture Bride,1994,3
5254729,I Could Never Be Your Woman,2007,3
235331,Red Beard,1965,3
35785312,Amador,2010,3
4783144,Suburban Girl,2007,2
6004372,Grace of my heart,1996,3
856733,A shot in the dark,1964,1
76345,Shaft,1971,1
24021571,Just Wright,2010,3
1226289,Bless the Child,2000,2
44218,San Francisco,1936,1
19837210,Romasanta,2004,2
1307956,Stage Beauty,2004,2
1964091,Next,2007,2
6721185,Go Fish,1994,3
1378672,Ordinary Decent Criminal,2000,1
22358819,Clash of the Titans,2010,3
706803,G.I. Jane,1997,3
3917873,Chitty Chitty Bang Bang,1968,3
1941497,Kin-Dza-Dza,1986,0
33096336,"Jeff, Who Lives at Home",2011,3
24207129,A Single Man,2009,1
1781048,Charro!,1969,1
817057,Outland,1981,1
399402,Cinderella,1950,3
4836072,My Fair Lady,1964,3
3340222,Day of Wrath,1943,3
27383563,Looper,2012,1
846329,Late Spring,1949,3
1231856,For Love of the Game,1999,2
2028217,Inland Empire,2006,3
16791614,Son of Fury: The Story of Benjamin Blake,1942,1
1157158,Death to Smoochy,2002,2
26967925,Outside the Law,2010,1
26149260,Dylan Dog: Dead of Night,2010,0
5049873,Mediterraneo,1991,2
6846215,Inkheart,2008,3
1886189,Close-Up,1990,1
24708749,Ironclad,2011,1
23470411,Nevada,1927,0
250012,Pale Rider,1985,2
683122,Bambi,1942,1
12695008,"Welcome Home, Roscoe Jenkins",2008,3
8219325,Get Smart,2008,1
62688,Foreign Correspondent,1940,1
504242,Serenity,2005,3
129295,Fatal Attraction,1987,3
9088886,Queen of the Damned,2002,3
3511253,Police Academy 3: Back in Training,1986,1
18164108,Dancing at Lughnasa,1998,3
670013,Final Fantasy VII: Advent Children,2005,3
20700559,Miracle on 34th Street,1994,3
22637123,Pippi in the South Seas,1970,3
2080306,Drop Zone,1994,2
16855103,Easy Virtue,2008,3
2261407,3-Iron,2004,1
8719979,Wetherby,1985,3
26554437,Hall Pass,2011,2
12509757,Dragonfly,2002,1
74871,Laura,1944,3
154635,Three Colors: Blue,1993,3
9389794,Intimate Stories,2002,3
685987,Major League,1989,1
8499528,She-Devil,1989,3
1134154,In the Realm of the Senses,1976,3
29019687,Carancho,2010,3
6332837,Forty Guns,1957,2
22486844,Life During Wartime,2009,3
8695,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,0
6839059,A Private Function,1984,3
275547,Selena,1997,3
28042876,Puss in Boots,2011,1
7725707,Deception,1946,0
17022526,Picture This,2008,2
1456329,An American Tail: Fievel Goes West,1991,3
8293411,Wedding Wars,2006,2
1488066,Lolita,1962,3
30575,Twelve Monkeys,1995,1
33146132,Revenge of the Musketeers,1994,3
43307,K-19: The Widowmaker,2002,0
366111,Shallow Hal,2001,3
1249019,Killer Klowns from Outer Space,1988,0
25871790,Kaboom,2010,3
445066,RoboCop,1987,1
46505,Airplane!,1980,3
770083,Sweet Dreams,1985,3
8850105,Because I Said So,2007,3
2651593,Water,2005,3
30854972,Red Sonja,1985,3
1647985,Shoot the Piano Player,1960,2
23734853,Somewhere,2010,3
161452,Bad Day at Black Rock,1955,0
