wikipedia_movie_id,imdb_movie_id,movie_name,movie_release_date,averageRating,numVotes
975900,tt0228333,Ghosts of Mars,2001,4.9,58732.0
28463795,tt0094806,Brun bitter,1988,5.6,42.0
9363483,tt0094320,White Of The Eye,1987,6.1,3071.0
261236,tt0083949,A Woman in Flames,1983,5.9,648.0
10408933,tt0029852,Alexander's Ragtime Band,1938,6.8,2353.0
175026,tt0021335,Sarah and Son,1930,5.3,354.0
24229100,tt0072157,Lady Snowblood 2: Love Song of Vengeance,1974,6.3,4334.0
6631279,tt0119548,Little city,1997,5.8,1146.0
171005,tt0097499,Henry V,1989,7.5,32039.0
77856,tt0058331,Mary Poppins,1964,7.8,188890.0
32456683,tt0061637,Die Fahne von Kriwoj Rog,1967,7.7,24.0
33420460,tt0104601,Keep the Change,1992,5.7,101.0
175024,tt0020823,The Devil's Holiday,1930,5.9,267.0
21926710,tt0892904,White on Rice,2009,6.1,552.0
31983669,tt0022289,Road to Life,1931,6.8,493.0
17715326,tt0026167,Camera Thrills,1935,6.4,15.0
21344842,tt0079552,Middle Age Spread,1979,6.1,38.0
156558,tt0255819,Baby Boy,2001,6.5,17070.0
11448183,tt0367546,Bindiya Chamkegi,1984,4.8,26.0
9633533,tt0255668,Vandanam,1989,7.9,1334.0
27611999,tt0088157,Special Effects,1984,5.4,1304.0
29528534,tt0366182,Anokha Rishta,1986,7.1,63.0
1364293,tt0033150,They Knew What They Wanted,1940,6.0,504.0
26067101,tt0178022,Siam Sunset,1999,6.4,1298.0
2487170,tt0153301,Troops,1997,7.8,2651.0
25960460,tt0166158,Daddy and Them,2001,5.6,2582.0
261237,tt0080801,The Gods Must Be Crazy,1980,7.3,60321.0
14301436,tt0009082,Follow the Crowd,1918,5.6,55.0
12008535,tt0405393,Rudo y Cursi,2008,6.7,9406.0
4951456,tt0097670,Kinjite: Forbidden Subjects,1989,5.5,3966.0
13281430,tt0843287,My Name is Fame,2006,7.0,479.0
11633165,tt0128332,Innocence,1997,8.1,20445.0
21449578,tt0116480,Hamsun,1996,7.2,1739.0
12053509,tt0097790,Loverboy,1989,6.1,8955.0
29198000,tt0106541,Chandra Mukhi,1993,3.9,903.0
1369204,tt0031516,Juarez,1939,6.9,2585.0
20334086,tt1152403,Vipers,2008,3.3,1477.0
5915856,tt0378118,Ivar,2003,4.7,75.0
2647998,tt0074653,The Human Tornado,1976,6.0,2009.0
1254263,tt0073705,Shivers,1975,6.3,24118.0
11353896,tt0320792,Zindagi,1976,7.0,37.0
24761154,tt1065099,My Friend Ganesha,2007,5.2,313.0
7364373,tt0013951,The Covered Wagon,1923,6.6,815.0
31026308,tt0132524,Sombra Verde,1954,7.0,93.0
11996174,tt0426863,Aaj Ka Andha Kanoon,2003,4.1,21.0
7028314,tt0050646,The Little Hut,1957,5.6,1021.0
31156641,tt0323365,Nariman,2001,5.4,219.0
32224700,tt0256351,A Romance of Wastdale,1921,6.2,10.0
25413122,tt0043482,Drums in the Deep South,1951,5.8,453.0
5664529,tt0063787,Vixen!,1968,5.6,3177.0
5894429,tt0488380,Closing the Ring,2007,6.5,4921.0
12788657,tt0062755,The Boston Strangler,1968,7.0,11055.0
27556929,tt0116056,Deadly Voyage,1996,6.6,681.0
4300418,tt0347167,The Hero: Love Story of a Spy,2003,5.5,2653.0
30246289,tt1263736,33 Scenes from Life,2008,6.2,1041.0
9390791,tt0362718,Hermanas,2005,6.6,336.0
